# food_db_version=vtn-526+resnet10
log_id,log_date,meal_source,meal_complexity,recognition_source,experiment_cohort,ai_confidence,db_match_score,model_version,prompt_version,ai_food_name,db_food_name,ai_cal,ai_pro,ai_carb,ai_fat,db_cal,db_pro,db_carb,db_fat,pt_cal,pt_pro,pt_carb,pt_fat,delta_ai_cal,delta_db_cal,pt_action,pt_correction_reason,pt_reviewed_at,sos_ticket_flag,sos_reason_code,fields_changed,customer_id_hash,image_object_name,ai_portion_g,db_applied,blind_cal,blind_pro,blind_carb,blind_fat,diet_log_items_json
08222eca-4e3d-4595-a62a-cd94c300909e,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Tráng Nướng,Bánh Tráng Nướng,250,8,30,10,238,8,29,10,250.0,8.0,30.0,10.0,0.0,12.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_trang_nuong_02.jpg,100,True,,,,,[]
8231af2e-9cbc-47ea-9123-7e0f892077a8,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Tráng Nướng,Bánh Tráng Nướng,250,8,30,10,238,8,29,10,250.0,8.0,30.0,10.0,0.0,12.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_trang_nuong_03.jpg,100,True,,,,,[]
ba4213ce-5eb2-445b-95a3-8264df11d6d5,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Xèo,Bánh Xèo,450,16,40,22,428,16,39,21,450.0,16.0,40.0,22.0,0.0,22.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_xeo_01.jpg,100,True,,,,,[]
054b5fdc-175e-40c8-b835-ac93a8863604,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Xèo,Bánh Xèo,450,16,40,22,428,16,39,21,450.0,16.0,40.0,22.0,0.0,22.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_xeo_02.jpg,100,True,,,,,[]
60114301-67ae-4aea-b8b2-a99cf5bc67a7,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bánh Xèo,Bánh Xèo,450,16,40,22,428,16,39,21,450.0,16.0,40.0,22.0,0.0,22.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,banh_xeo_03.jpg,100,True,,,,,[]
aceae878-507f-4f77-9131-bad097e8019d,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bún Đậu Mắm Tôm,Bún Đậu Mắm Tôm,550,25,60,22,522,24,58,21,550.0,25.0,60.0,22.0,0.0,28.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,bun_dau_mam_tom_01.jpg,100,True,,,,,[]
95085c46-82dc-424c-b20c-32df248233b7,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bún Đậu Mắm Tôm,Bún Đậu Mắm Tôm,550,25,60,22,522,24,58,21,550.0,25.0,60.0,22.0,0.0,28.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,bun_dau_mam_tom_02.jpg,100,True,,,,,[]
865a70b0-9096-4016-8f75-97cb92b4c8c6,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Bún Đậu Mắm Tôm,Bún Đậu Mắm Tôm,550,25,60,22,522,24,58,21,550.0,25.0,60.0,22.0,0.0,28.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,bun_dau_mam_tom_03.jpg,100,True,,,,,[]
45015f19-ea17-4e16-914b-dd064e1b4189,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Cá Kho Tộ,Cá Kho Tộ,300,20,10,18,285,20,10,17,300.0,20.0,10.0,18.0,0.0,15.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,ca_kho_to_01.jpg,100,True,,,,,[]
bc2503b9-9cba-4995-a324-123ffb604bf4,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Cá Kho Tộ,Cá Kho Tộ,300,20,10,18,285,20,10,17,300.0,20.0,10.0,18.0,0.0,15.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,ca_kho_to_02.jpg,100,True,,,,,[]
fa1a9b2d-ea6b-442e-860d-94f9c81c8913,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Cá Kho Tộ,Cá Kho Tộ,300,20,10,18,285,20,10,17,300.0,20.0,10.0,18.0,0.0,15.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,ca_kho_to_03.jpg,100,True,,,,,[]
769b5706-17cc-414f-8db2-9c384cf5389c,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Cơm Tấm,Cơm Tấm,650,30,80,25,618,29,78,24,650.0,30.0,80.0,25.0,0.0,32.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,com_tam_01.jpg,100,True,,,,,[]
5f8b6fe6-f154-481b-948d-e96738240483,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Cơm Tấm,Cơm Tấm,650,30,80,25,618,29,78,24,650.0,30.0,80.0,25.0,0.0,32.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,com_tam_02.jpg,100,True,,,,,[]
c3b2d429-cfcd-42e6-b16a-2c2777028560,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Cơm Tấm,Cơm Tấm,650,30,80,25,618,29,78,24,650.0,30.0,80.0,25.0,0.0,32.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,com_tam_03.jpg,100,True,,,,,[]
894e7f86-0729-4efd-9a91-7da406b0c498,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Gỏi Cuốn,Gỏi Cuốn,150,8,25,2,142,8,24,2,150.0,8.0,25.0,2.0,0.0,8.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,goi_cuon_01.jpg,100,True,,,,,[]
3f5e83f9-5483-40e4-bdab-fbd53a1724a8,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Gỏi Cuốn,Gỏi Cuốn,150,8,25,2,142,8,24,2,150.0,8.0,25.0,2.0,0.0,8.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,goi_cuon_02.jpg,100,True,,,,,[]
090478c3-90ef-4870-807d-ca282295366b,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Gỏi Cuốn,Gỏi Cuốn,150,8,25,2,142,8,24,2,150.0,8.0,25.0,2.0,0.0,8.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,goi_cuon_03.jpg,100,True,,,,,[]
755d138d-29fc-4c68-9194-78c9c7a4a46f,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Phở,Phở,400,20,55,12,380,20,53,12,400.0,20.0,55.0,12.0,0.0,20.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,pho_01.jpg,100,True,,,,,[]
06515249-0d09-4b01-81c8-fe5a0a682c9b,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Phở,Phở,400,20,55,12,380,20,53,12,400.0,20.0,55.0,12.0,0.0,20.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,pho_02.jpg,100,True,,,,,[]
9d51b442-ce43-45fd-b579-eda9b27fc42c,2026-06-20,HOME_COOKED,SIMPLE,HYBRID,HOME_HYBRID_DB,0.35,18,resnet50-vtn-10class,resnet10-class-hash,Phở,Phở,400,20,55,12,380,20,53,12,400.0,20.0,55.0,12.0,0.0,20.0,APPROVE,,2026-06-20T06:15:52,False,,,resnet-seed,pho_03.jpg,100,True,,,,,[]
